Id_Pertanyaan;Pertanyaan;Jawaban;Kategori
59;Lupa check-in tadi, apa kabar?;Ajukan koreksi ke HR;Absensi
60;Absen tadi lupa, gimana?;Ajukan koreksi ke HR;Absensi
61;Cara koreksi absen?;Ajukan koreksi ke HR dalam 3 hari;Absensi
62;Gimana koreksi absen?;Ajukan koreksi ke HR dalam 3 hari;Absensi
63;Jam kerja saya minggu ini?;Cek HRIS untuk total jam;Absensi
64;Berapa jam kerja minggu ini?;Cek HRIS untuk total jam;Absensi
65;Pelatihan apa minggu ini?;Pelatihan Excel: 15 Mei 2025;Pelatihan
66;Training apa besok?;Pelatihan Excel: 15 Mei 2026;Pelatihan
67;Sertifikat pelatihan kapan?;Dikirim via e-mail dalam 7 hari;Pelatihan
68;Kapan sertifikat training?;Dikirim via e-mail dalam 7 hari;Pelatihan
69;Jadwal pelatihan bulan ini?;Pelatihan Excel: 15 Mei 2025;Pelatihan
70;Pelatihan apa bulan ini?;Pelatihan Excel: 15 Mei 2025;Pelatihan
71;Boleh WFH kapan?;WFH Senin-Kamis, ajukan ke HR;Kebijakan
72;Kapan bisa WFH?;WFH Senin-Kamis, ajukan ke HR;Kebijakan
73;Dress code hari Jum'at?;Jum'at casual, cek kebijakan HR;Kebijakan
74;Pakaian Jum'at apa?;Jum'at casual, cek kebijakan HR;Kebijakan
75;Syarat reimburse di perjalanan?;Max Rp 500.000, ajukan ke HR;Kebijakan
76;Reimburse dinas gimana?;Max Rp 500.000, ajukan ke HR;Kebijakan
77;Cuti tinggal berapa hari?;Sisa [Sisa_Cuti] hari;Cuti
78;Berapa sisa cuti saya?;Sisa [Sisa_Cuti] hari;Cuti
79;Cuti minggu ini bisa?;Hubungi HR, sisa [Sisa_Cuti] hari;Cuti
80;Boleh cuti besok?;Hubungi HR, sisa [Sisa_Cuti] hari;Cuti
81;Cuti 2025 sudah masuk?;Jatah 12 hari mulai Januari 2025;Cuti
82;Kapan jatah cuti aktif?;Jatah 12 hari mulai Januari 2025;Cuti
83;Cuti terakhir saya kapan?;Cek [Riwayat_Pengajuan_Cuti] di HRIS;Cuti
84;Kapan saya cuti sebelumnya?;Cek [Riwayat_Pengajuan_Cuti] di HRIS;Cuti
85;Syarat cuti panjang apa?;Ajukan 7 hari sebelumnya;Cuti
86;Apa aturan cuti 3 hari?;Ajukan 7 hari sebelumnya;Cuti
87;Gaji bulan ini sudah ada?;Sudah, cek HRIS tanggal 1;Gaji
88;Gaji sudah masuk belum?;Sudah, cek HRIS tanggal 1;Gaji
89;Slip gaji dimana?;Cek HRIS setelah tanggal 1;Gaji
90;Slip gaji bulan ini ada?;Cek HRIS setelah tanggal 1;Gaji
91;Bonus apa bulan ini?;Cek pengumuman HR;Gaji
92;Ada bonus gaji?;Cek pengumuman HR;Gaji
93;Gaji kenapa belum masuk?;Hubungi HR, gajian tanggal 1;Gaji
94;Gaji bulan ini telat?;Hubungi HR, gajian tanggal 1;Gaji
95;Absensi saya kemarin?;Cek HRIS untuk detail;Absensi
96;Saya hadir kemarin?;Cek HRIS untuk detail;Absensi
97;Lupa absen tadi?;Ajukan koreksi ke HR;Absensi
98;Tadi lupa Check-in?;Ajukan koreksi ke HR;Absensi
99;WFH hari apa boleh?;WFH Senin-Kamis, ajukan ke HR;Kebijakan
100;Hari apa bisa WFH?;WFH Senin-Kamis, ajukan ke HR;Kebijakan
